2024/05/09 09:30:01.389820 [INFO] Log Publish not set, skipping...
2024/05/09 09:50:01.465279 [INFO] Log Publish not set, skipping...
2024/05/09 10:10:01.746092 [INFO] Log Publish not set, skipping...
2024/05/09 10:30:01.809213 [INFO] Log Publish not set, skipping...
2024/05/09 10:50:01.841493 [INFO] Log Publish not set, skipping...
2024/05/09 11:10:01.289604 [INFO] Log Publish not set, skipping...
2024/05/09 11:30:01.345102 [INFO] Log Publish not set, skipping...
2024/05/09 11:50:01.381203 [INFO] Log Publish not set, skipping...
2024/05/09 12:10:01.687051 [INFO] Log Publish not set, skipping...
2024/05/09 12:30:01.725201 [INFO] Log Publish not set, skipping...
2024/05/09 12:50:01.756909 [INFO] Log Publish not set, skipping...
2024/05/09 13:10:01.893594 [INFO] Log Publish not set, skipping...
2024/05/09 13:30:01.934752 [INFO] Log Publish not set, skipping...
2024/05/09 13:50:01.972451 [INFO] Log Publish not set, skipping...
2024/05/09 14:10:01.208176 [INFO] Log Publish not set, skipping...
2024/05/09 14:30:01.234476 [INFO] Log Publish not set, skipping...
2024/05/09 14:50:01.265012 [INFO] Log Publish not set, skipping...
2024/05/09 15:10:01.442470 [INFO] Log Publish not set, skipping...
2024/05/09 15:30:01.470449 [INFO] Log Publish not set, skipping...
2024/05/09 15:50:01.536274 [INFO] Log Publish not set, skipping...
2024/05/09 16:10:01.797884 [INFO] Log Publish not set, skipping...
2024/05/09 16:30:01.836940 [INFO] Log Publish not set, skipping...
2024/05/09 16:50:01.878733 [INFO] Log Publish not set, skipping...
2024/05/09 17:10:01.089198 [INFO] Log Publish not set, skipping...
2024/05/09 17:30:01.116503 [INFO] Log Publish not set, skipping...
2024/05/09 17:50:01.151575 [INFO] Log Publish not set, skipping...
2024/05/09 18:10:01.354175 [INFO] Log Publish not set, skipping...
2024/05/09 18:30:01.378583 [INFO] Log Publish not set, skipping...
2024/05/09 18:50:01.412223 [INFO] Log Publish not set, skipping...
